ICO	ROK_UZ	stari	zamestnanci	zamereni	ROA	PROA	ROE	2h_vyuz	2h_spok
15528588	2010	2	3	2	6.38188774504004E-02	8.77410957283162E-02	0.149042962136754	2	4
15528588	2008	2	3	2	7.60528962439012E-02	0.105942100057351	0.156175260690711	2	4
15528588	2009	2	3	2	4.67566085729437E-02	6.42476428449446E-02	8.34540651099369E-02	2	4
60322829	2008	2	3	3	2.35773418854415E-02	5.36713156324582E-02	6.31345507467341E-02	0	0
60322829	2009	2	3	3	2.94954486082563E-02	6.12286226344407E-02	6.51598942053378E-02	0	0
60322829	2010	2	3	3	2.29785547396529E-02	3.88434579439252E-02	4.48779387720584E-02	0	0
41191129	2010	2	3	3	0.060489132145079	5.53813976794909E-02	0.100388477827728	0	0
41191129	2009	2	3	3	4.20450424634642E-02	4.97313225422796E-02	7.70678553739475E-02	0	0
41191129	2008	2	3	3	3.52342554707785E-02	5.13986554169553E-02	6.53591355137134E-02	0	0
25657704	2009	2	4	1	3.83108979931733E-02	5.43343979062383E-02	5.33101998502563E-02	0	0
25657704	2010	2	4	1	5.99612679021134E-02	8.59454535712372E-02	8.28835081631043E-02	0	0
25657704	2008	2	4	1	2.39925822261384E-03	1.16115804811187E-02	-8.21959008900269E-03	0	0
25629352	2009	2	2	2	-1.57515452465273E-02	-2.40042887470325E-02	-1.56045476803849	2	0
25629352	2008	2	2	2	2.98314117168901E-03	1.78777374449255E-03	2.44655218850317E-02	2	0
25629352	2010	2	2	2	-2.4473251019745E-04	-5.17272673224533E-03	-2.72671055513328E-02	2	0
25625381	2010	2	3	1	0.10131526001436	0.159791862272473	0.217591741150795	0	0
25625381	2008	2	3	1	6.58762361455095E-02	7.07628532785301E-02	0.234107126727486	0	0
25625381	2009	2	3	1	0.024499760823849	4.84038376490338E-02	6.31390864380993E-02	0	0
60318287	2010	2	3	1	9.06240877302093E-03	2.36079556271974E-02	1.33124423553466E-02	0	0
60318287	2009	2	3	1	1.29373994431261E-02	2.59996914419213E-02	2.11623392104994E-02	0	0
60318287	2008	2	3	1	2.65542224349347E-02	3.31804003762811E-02	3.17997842903035E-02	0	0
48173118	2008	1	3	1	-1.44916013690657E-02	-3.29800735573426E-03	-2.17575836172646E-02	0	0
48173118	2009	1	3	1	-3.09876707711843E-02	-2.60065996253419E-02	-3.34002154307559E-02	0	0
48173118	2010	1	3	1	2.31313552312627E-02	1.18041070862532E-02	3.89127236437339E-02	0	0
43874801	2009	2	3	1	2.94117647058824E-02	9.20912065166589E-02	4.54227346952378E-02	2	5
43874801	2008	2	3	1	3.08916787150894E-02	9.61106259931002E-02	4.00821471567169E-02	2	5
43874801	2010	2	3	1	-7.02526771573457E-02	-7.48151054153408E-02	-6.96066746126341E-02	2	5
25938002	2010	2	4	1	1.41064623641912E-02	3.04885444890443E-02	6.04473656052177E-02	3	4
25938002	2008	2	4	1	-9.83115980518467E-02	-5.88958934721733E-02	-0.451849619577724	3	4
25938002	2009	2	4	1	4.32100884443331E-02	4.39610827411889E-02	0.180771333729116	3	4
27238920	2008	3	4	1	0.29228739658642	0.192715212044421	0.764243437943864	2	3
27238920	2009	3	4	1	0.15486421562112	0.218739767949246	0.18548210678025	2	3
27238920	2010	3	4	1	0.110603300283782	0.12977612724661	0.13554845230449	2	3
63216671	2009	2	3	1	5.54433334238003E-03	1.29768417461161E-02	9.32683715864102E-03	0	0
45809712	2009	2	4	2	4.50992766027664E-02	5.47328166390181E-02	0.113918748811389	0	0
45809712	2008	2	4	2	2.10869696597253E-02	3.46066954897353E-02	5.13958017745077E-02	0	0
45809712	2010	2	4	2	4.20599565865452E-02	5.11041443550948E-02	0.103904530944928	0	0
46969250	2010	2	3	1	0.145293499474553	0.161289596156733	0.340219161853991	1	5
46969250	2009	2	3	1	0.090814127375088	0.132675052779733	0.168059934627289	1	5
46969250	2008	2	3	1	7.76607820879164E-02	0.14072102399499	0.137336436119483	1	5
25588338	2010	2	3	1	-6.12962201845264E-02	-3.53321333919131E-02	-0.143487492535333	3	0
25588338	2008	2	3	1	3.08943295057919E-02	7.83676463149375E-02	4.95280303902383E-02	3	0
25588338	2009	2	3	1	7.97079563510302E-03	5.32349349336205E-02	9.19101708141854E-03	3	0
27174841	2008	3	4	1	6.25803287257313E-02	0.139153518711447	0.116355006780387	2	3
27174841	2010	3	4	1	0.158735137527594	0.215790936841008	0.254025369477896	2	3
27174841	2009	3	4	1	0.166536451942808	0.224816052358257	0.274704410608335	2	3
25828649	2010	2	3	3	8.99693987033618E-02	0.106663268726189	0.398338770765365	0	0
25828649	2008	2	3	3	8.78906869895631E-03	0.04858553504392	4.00533150028083E-02	0	0
25828649	2009	2	3	3	4.8152706700352E-03	2.88700308781931E-02	1.81278490406021E-02	0	0
48586366	2010	2	2	2	0.02928610878512	-8.26310819718862E-03	-0.032721801239984	0	0
48586366	2008	2	2	2	2.41988519911377E-03	0.054416556526773	1.58677971967468E-02	0	0
48586366	2009	2	2	2	3.85254409114315E-02	4.54951403192585E-02	0.248195563985038	0	0
00008753	2008	1	4	1	-9.22064161689423E-02	-3.29047162256556E-02	-0.943005436253167	0	0
00008753	2009	1	4	1	-0.210069315530426	-0.176490624521008	-1.04573769324413	0	0
00008753	2010	1	4	1	-4.21480480052808E-02	-2.90242827454615E-02	-0.135215134671641	0	0
45798575	2008	2	2	3	0.208123070226744	0.281723091989826	0.541620779499852	1	4
45798575	2009	2	2	3	0.128645317486519	0.179864484585515	0.439940854135862	1	4
45798575	2010	2	2	3	3.93608299435563E-02	6.54699965313909E-02	0.246708544875656	1	4
25404385	2008	2	3	3	1.40545415652516E-02	4.22040943752927E-02	1.16091865902943E-03	2	4
25404385	2010	2	3	3	-5.11923382342325E-02	-5.37719277137426E-02	-0.181924243602707	2	4
25404385	2009	2	3	3	-8.68606785369638E-02	-6.99540199436129E-02	-0.232152300370175	2	4
45350001	2009	2	2	3	0.141614572106057	0.166522957533951	0.17349857006673	3	2
45350001	2010	2	2	3	0.167464653438598	0.163899978987182	0.294657521012463	3	2
45350001	2008	2	2	3	0.238823770236474	0.293923940227307	0.271262321830711	3	2
49968416	2010	2	3	1	9.67262664766159E-02	0.130684693635929	0.123907726972961	0	0
49968416	2009	2	3	1	6.58434325764398E-02	0.09545577076391	7.48911149825784E-02	0	0
49968416	2008	2	3	1	0.201288607414161	0.227653976501865	0.202842911986756	0	0
26150905	2009	2	4	1	-2.55981289656442E-03	-1.95703120977531E-03	-2.07626740080672E-02	0	0
26150905	2008	2	4	1	-5.33802217210982E-03	1.36139277435226E-02	-1.34956636902992E-02	0	0
26150905	2010	2	4	1	8.53489776870754E-02	9.14243494768066E-02	0.26593355122964	0	0
48025976	2008	2	3	3	1.06627019436904E-02	3.61367979605705E-02	4.06036789083601E-02	2	4
48025976	2009	2	3	3	6.74321075096457E-02	9.51184507278522E-02	0.24285359184688	2	4
48025976	2010	2	3	3	4.31601073192406E-02	5.76157355982022E-02	0.200759475531991	2	4
60851236	2010	2	3	1	5.44785679616157E-03	1.48397072904206E-02	4.16675119180444E-02	0	0
60851236	2009	2	3	1	3.3989829730696E-03	1.51460175338431E-02	2.69686706181202E-02	0	0
60851236	2008	2	3	1	-0.124080950338033	-9.31032442268148E-02	-1.0948309620154	0	0
15052346	2010	2	4	1	0.206736227248868	0.279817563690963	0.250082493036617	3	5
15052346	2008	2	4	1	0.400951177811728	0.520760942249383	0.44317510060183	3	5
15052346	2009	2	4	1	0.262750271833864	0.347540405722573	0.316147015272843	3	5
25568345	2010	2	3	1	7.69189374625832E-02	0.102809710553399	6.68151966340108E-02	0	0
25568345	2009	2	3	1	2.65554438659925E-02	4.97501987907521E-02	2.37937027192803E-02	0	0
25568345	2008	2	3	1	0.159015800122224	0.196786576719294	0.171701378213856	0	0
26420619	2010	2	3	2	1.07787658313123E-03	1.38102937213689E-02	-8.36618905664006E-03	0	0
26420619	2008	2	3	2	5.91715976331361E-03	1.50963434987104E-02	8.07525807525808E-03	0	0
26420619	2009	2	3	2	-0.043903216382035	-4.06629305994529E-02	-0.139395694565112	0	0
25083341	2008	2	3	2	0.210070426963466	0.327029491290951	0.24780002199978	0	0
25083341	2009	2	3	2	8.42353830169075E-02	0.209162180032115	8.22052187561311E-02	0	0
25083341	2010	2	3	2	0.341192961901375	0.443626169006423	0.405906710927073	0	0
25842102	2009	2	3	1	1.90537324402373E-02	3.14218617173121E-02	2.22216504295414E-02	2	0
25842102	2008	2	3	1	0.029411479871004	4.29776904030964E-02	6.48123360282701E-02	2	0
25842102	2010	2	3	1	2.27077639616513E-03	2.04724181191852E-02	-2.39495650336351E-03	2	0
45788235	2008	2	4	3	0.073479026996589	9.84644056222457E-02	9.15917053473629E-02	3	3
45788235	2010	2	4	3	6.57586093786396E-02	8.55782204652101E-02	9.09861577682158E-02	3	3
45788235	2009	2	4	3	8.57938141389947E-02	0.11358130222817	0.102886408092799	3	3
41193598	2010	2	4	3	-1.25894355411348E-03	-3.14357767637946E-03	-2.16595210091234E-03	0	0
41193598	2009	2	4	3	-1.54273443469121E-02	-1.94318085555226E-02	-0.017659180701578	0	0
41193598	2008	2	4	3	2.39198099951168E-02	2.32642218047668E-02	1.82378567963531E-02	0	0
28207505	2008	2	3	1	0.109796155533684	0.174068232755043	0.522149600580973	2	4
28207505	2009	2	3	1	5.61493563497222E-02	9.51704450267043E-02	0.183892073417868	2	4
28207505	2010	2	3	1	6.51472222039614E-02	9.29416173077302E-02	0.182938900386934	2	4
46345426	2009	2	3	1	5.82189821847372E-03	1.72623095648195E-02	4.81709405486626E-03	0	0
46345426	2008	2	3	1	0.001802927428061	1.58372652495328E-02	5.24354597585738E-04	0	0
46345426	2010	2	3	1	3.00722898084219E-02	3.95869540225999E-02	3.52864597003643E-02	0	0
63476142	2008	2	3	1	0.216018081616778	0.232364186070404	0.176514050585373	2	0
63476142	2010	2	3	1	0.110807753925956	0.126191743063249	8.94145796777795E-02	2	0
63476142	2009	2	3	1	0.157078348946574	0.184948295433283	0.128160329923715	2	0
25566130	2010	2	2	3	-2.00596731398602E-02	2.90932367000134E-02	-8.55758643470601E-02	0	0
25566130	2008	2	2	3	-1.11080083154923E-02	8.64904278755158E-03	-9.03753927567389E-02	0	0
