spolecnost	sidlo	rok_zalozeni	stari	stáří	NACE-CZ	prav_forma	zahr_kapital	pocet_zam	obrat2008	zamereni	zamereni_text	1a	1b	1c	1d	1e	1f	1g	1h	2a_vyuz	2a_plan	2a_spok	2b_vyuz	2b_plan	2b_spok	2c_vyuz	2c_plan	2c_spok	2d_vyuz	2d_plan	2d_spok	2e_vyuz	2e_plan	2e_spok	2f_vyuz	2f_plan	2f_spok	2g_vyuz	2g_plan	2g_spok	2g_text	2h_vyuz	2h_plan	2h_spok	2i_vyuz	2i_plan	2i_spok	2j_vyuz	2j_plan	2j_spok	2k_vyuz	2k_plan	2k_spok	2l_vyuz	2l_plan	2l_spok	2l_text	3	3_text	4a	4b	4c	4d	4e	4f	4g	5a	5b	5c	5d	5e	5f	5g	5h	5i	5j	5k	5l	5m	5n	5o	5p	5r	5r_text	6a_1	6a_2	6a_3	6a_4	6a_5	6a_6	6b_1	6b_2	6b_3	6b_4	6c	6d	6e	6f	6g	6h	6h_text	7	8a	8b	8c	8d	8e	8f	8g	8h	8i	8i_text	8j	9	10	11a	11b	11c	11d	11e	11f	12a	12b	12c	12d	12e	12f	12f_text	13a	13b	13c	13d	13e	13f	13f_text	14	15	15_text
.A.S.A., spol. s r.o.	Praha	1992	2	2	služby	s.r.o.	1	4	4	2		4	4	4	4	4	4	2	3	3		3	3		5		1		3		5		2			2			1				1			2			2			1						1		4	5	4	4	4	3	3	5	4	5	5	5	4	4	4	4	5	4	4	3	4		3			0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	0		1	0	1	0	1	1	1	0	0	0		0	1	1	1	1	1	1	1	1	1	1	0	1	0	0		4	3	2	2	2			1	2	
5M, s.r.o.	Kunovice	1992	2	2	22.29	s.r.o.	2	3	3	1		4	5	5	4	3	5	4	1	3		3	3		3	1		4	3		3		1		1		1	3		3		1		5	2		3	1		2	3		4					1		4	5	5	5	4	4	5	4	5	4	4	5	5	5	4	4	5	5	5	4	5	5	5			0	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	podíl exportu v Kč	1	1	0	0	1	0	0	0	0	0		0	1	3	0	0	1	0	0	0	1	1	0	0	0	0		5	3	2	5	2			1	1	častější měření, úspory nákladů, postihy
AAA Zimklima	Hodonín	2002	3	2	Klimatizace	s.r.o.	1	2	1	2		4	4	3	3	4	4	3																																								3		4	4	3	4		4	4	3	3	4	4	4	4	3	3	3	4	3	2	5	3	3	4			0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0		3	0	1	0	0	0	0	0	0	0		0	3	3							1	0	0	0	0	0		4			5				2		
abala.eu stroje obaly folie	Kroměříž	2003	3	2	Nákup a prodej potravinářských technologií	s.r.o.	2	1	1	3		5	3	5	3	3	4	1	3	3		5		1			2			2			2			2			2				2			2			2			2			2			1		5	5	3	3	2	2	2	5	5	5	5	5	5	5	3	2	4	1	5	3	4	3	3			0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		3	0	0	0	0	0	0	0	1	0		0	1	1	0	0	0	0	0	0	1	0	0	0	0	0		5	4	5	3	3			1	2	
ADLER Czech a.s.	Ústí nad Labem	1999	2	2	velkoobchod	a.s.	2	3	4	3		5	5	5	5	5	5	5	2	3	1	3	3		3		1			1			1			2		2			ISO	2		3		1			2		2		3					4	přecházíme nyní dle bodu a)	5	5	4	4	5	3	5	5	4	5	4	5	4	5	5	5	5	4	5	4	5	5	5			1	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0		1	0	0	0	1	1	1	1	1	0		0	3	2	1	1	1	1	1	1	1	1	1	1	0	0		4	3	3	4	2			1	1	stavba a implementace nové strategie a měření výkonnosti, odměňování
ADW Agro	Krahulov (okr. Třebíč)	1998	2	2		a.s.	2	3	4	3		4	4	3	4	3	4	4	3	3		4	2		4	1		3	1		3		2			2							2			2			2			2						1		4	5	2	3	4	3	4	3	4	3	4	4	5	4	3	4	4	4	3	3	4	4	3			1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0		1	0	0	0	1	0	0	0	0	0		0	1	2	1	1	1	0	1	1	1	0	0	0	0	0		4	1	2	3	2			1	1	
AGREGA	Bludov	1993	2	2	Oprava silničních strojů, výroba strojů a zařízení pro všeobecné účely	a.s.	2	2	2	2		2	4	4	3	3	3	2	2	3		3		2			2			2			2			1			2				2			2			2			2						3		5	5	3	5	3	5	3	5	5	4	4	4	5	4	4	4	3	3	3	4	4	2	2			0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0		1	1	0	0	0	0	0	0	0	0		0	1	3	0	0	0	0	1	1	1	0	0	0	0	0		5	3	2	4	3			1	2	
AHORN CZ	Vlkoš u Kyjova	2000	2	2	Výroba lamelových roštů	s.r.o.	2	3	3	1		4	4	4	4	5	4		4	3			3						3			3			3							3																1		5	5	5	5	5	5	5	5	5	5		5	5	5	5	4	5	5	5	5	5	5	5			0	0	0	0	0	0	1	1	0	0	1	0	1	1	1	0		2	1	1	0	1	1	1	1	1	0		0	1	2		1	1	1			1	1	0	1	1	0					5				1	1	
Aircraft Industries	Kunovice	2005	3	3	 Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení	a.s.	1	4	4	1		5	5	5	4	5	5	5	5	2		4		1			2		2		3		1			2		2		3		2		3		2			1			1								5	5	5	5	5	5	5	4	5	4	5	5	5	5	4	4	5	5	5	4	5	5	4			0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	0		2	1	0	0	0	0	0	0	1	0		0	1	2	0	1	1	0	1	1	1	1	0	0	0	0		3		4	3				2	2	
ALFUN	Bruntál	1999	2	2	Velkoobchod s rudami, kovy a hutními výrobky	a.s.	2	3	4	3		4	5	3	5	1	5	1	1	3		4	3		4		2		3				1			2		3		4											3		4					1		5	5	5	5		3	3	5	5			5	5	5	5	5	5	4	5	5	5	2	3			0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	zadluženost	2	0	0	0	0	0	0	1	1	0		0	1	3	1	1	1	1	1	1	1	0	0	0	0	1	vlastní IS	5	1	1	3	1			2	1	
